CHARTER SCHOOL,School Administrators' Median Salary,Median Beginning Salary,Median Salary,Soc. Sec.,Retirement,Health Insurance,Dental Insurance,Life Insurance,Industrial Insurance,Unemployment Insurance,Long-Term Disability,Total Benefits,Total Compensation
Academy for Math Engineering & Science (AMES),90000.00,,45907.00,3587.00,8354.00,11230.00,480.00,119.00,188.00,188.00,281.00,24426.00,70334.00
American Leadership Academy,88166.00,31500.00,32546.00,2685.00,5518.00,9909.00,502.00,0.00,182.00,35.00,0.00,18831.00,51377.00
American Preparatory Academy,40000.00,32407.00,32407.00,2568.00,5277.00,3273.00,299.00,35.00,121.00,34.00,44.00,11650.00,44057.00
Bear River Charter School,,34500.00,35000.00,2616.00,2394.00,6796.00,924.00,0.00,99.00,684.00,0.00,13513.00,48513.00
Beehive Science & Technology Academy (bs,,32778.00,33706.00,2585.00,0.00,3486.00,0.00,0.00,0.00,334.00,0.00,6405.00,40111.00
Canyon Rim Academy,70000.00,35650.00,37175.00,,,,,,,,,0.00,37175.00
Channing Hall,69720.00,32500.00,36347.00,2866.00,2327.00,3837.00,388.00,60.00,120.00,105.00,0.00,9703.00,46050.00
City Academy,53033.00,32200.00,34250.00,2876.00,1504.00,5638.00,0.00,0.00,124.00,38.00,0.00,10179.00,44429.00
C.S. Lewis Academy,,30000.00,32000.00,2343.00,0.00,6944.00,0.00,0.00,0.00,31.00,0.00,9318.00,41318.00
Da Vinci Academy,57525.00,33000.00,39850.00,2995.00,0.00,5764.00,591.00,78.00,114.00,940.00,0.00,10481.00,50331.00
Dual Immersion Academy,76000.00,35000.00,40450.00,2976.00,2075.00,2575.00,0.00,0.00,194.00,297.00,0.00,8118.00,48568.00
Early Light Academy at Daybreak,70000.00,30000.00,34500.00,2712.00,0.00,7500.00,0.00,0.00,92.00,832.00,0.00,11137.00,45637.00
East Hollywood High,,33400.00,33000.00,2519.00,5176.00,3840.00,242.00,0.00,210.00,39.00,0.00,12026.00,45026.00
Edith Bowen Laboratory School,58462.00,,46592.00,,,,,,,,,0.00,46592.00
Entheos Academy,,27701.00,36011.00,2823.00,2584.00,6293.00,489.00,29.00,110.00,131.00,0.00,12460.00,48471.00
Excelsior Academy,45000.00,32200.00,32300.00,2504.00,1966.00,6000.00,0.00,36.00,131.00,589.00,0.00,11227.00,43527.00
Fast Forward High,53846.00,31600.00,33321.00,2633.00,5410.00,0.00,0.00,0.00,0.00,34.00,0.00,8077.00,41397.00
Freedom Academy,89000.00,32347.00,33645.00,2858.00,5873.00,11682.00,0.00,8.00,3000.00,37.00,0.00,23458.00,57103.00
Gateway Preparatory Academy,55000.00,28700.00,33970.00,2542.00,1662.00,4800.00,0.00,0.00,0.00,665.00,0.00,9669.00,43639.00
George Washington Academy,44774.00,30383.00,31930.00,2436.00,1835.00,4972.00,0.00,0.00,114.00,97.00,0.00,9454.00,41384.00
Good Foundation Academy,60000.00,32000.00,33000.00,2606.00,0.00,7067.00,0.00,26.00,99.00,409.00,0.00,10207.00,43207.00
Guadalupe School,70560.00,,39400.00,3441.00,1349.00,4004.00,171.00,224.00,127.00,99.00,556.00,9972.00,49372.00
Hawthorn Academy,51840.00,19620.00,32960.00,2520.00,0.00,7500.00,0.00,0.00,86.00,747.00,0.00,10853.00,43813.00
Intech Collegiate High School,86733.00,,44882.00,3310.00,6802.00,3852.00,0.00,0.00,141.00,423.00,0.00,14527.00,59409.00
Itineris Early College High,87214.00,35720.00,47906.00,3599.00,7395.00,8820.00,0.00,0.00,372.00,47.00,157.00,20389.00,68295.00
John Hancock Charter School,68057.00,,36818.00,2882.00,2449.00,12430.00,774.00,89.00,77.00,58.00,123.00,18881.00,55699.00
Karl G. Maeser Preparatory Academy,50000.00,32250.00,32500.00,2671.00,1397.00,631.00,0.00,97.00,71.00,35.00,90.00,4991.00,37491.00
Lakeview Academy,70500.00,32000.00,34990.00,2748.00,2515.00,9746.00,763.00,0.00,181.00,36.00,0.00,15989.00,50979.00
Legacy Preparatory Academy,62842.00,33368.00,33368.00,,,,,,,,,0.00,33368.00
Liberty Academy,105914.00,32006.00,33333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33333.00
Lincoln Academy,62500.00,33000.00,34000.00,2771.00,563.00,7809.00,576.00,42.00,80.00,36.00,90.00,11967.00,45967.00
Maria Montessori,,34684.00,34900.00,2687.00,0.00,7800.00,0.00,0.00,91.00,660.00,0.00,11239.00,46139.00
Merit College Preparatory Academy,79086.00,21333.00,33150.00,2962.00,1866.00,7053.00,882.00,37.00,0.00,223.00,0.00,13023.00,46173.00
Moab Community School,55000.00,,31500.00,2410.00,0.00,3000.00,0.00,0.00,0.00,32.00,0.00,5441.00,36941.00
Monticello Academy,,33500.00,35868.00,2852.00,5861.00,10133.00,0.00,0.00,124.00,37.00,0.00,19008.00,54876.00
Mountainville Academy,50000.00,27160.00,33900.00,2638.00,1379.00,8010.00,0.00,0.00,86.00,34.00,0.00,12148.00,46048.00
Navigator Pointe Academy,90700.00,32000.00,34200.00,2598.00,1019.00,2213.00,0.00,0.00,136.00,679.00,0.00,6645.00,40845.00
"No. UT Acad. for Math, Engineering & Science (NUAMES)",94000.00,39000.00,45800.00,3645.00,7490.00,7300.00,970.00,180.00,300.00,175.00,201.00,20261.00,66061.00
Noah Webster Academy,95000.00,33000.00,34200.00,2684.00,5697.00,3659.00,138.00,28.00,148.00,233.00,0.00,12589.00,46789.00
North Davis Preparatory Academy,67320.00,34873.00,38996.00,3015.00,0.00,8400.00,0.00,0.00,102.00,891.00,0.00,12408.00,51404.00
North Star Academy,61808.00,34252.00,37053.00,3056.00,719.00,6900.00,0.00,0.00,104.00,898.00,0.00,11676.00,48729.00
Odyssey Charter School,40000.00,32518.00,34043.00,2720.00,711.00,10966.00,0.00,2.00,252.00,36.00,0.00,14687.00,48730.00
Ogden Preparatory Academy,63381.00,34000.00,37486.00,3018.00,20782.00,8700.00,0.00,0.00,103.00,891.00,0.00,33493.00,70979.00
Open Classroom,76919.00,,49216.00,,,,,,,,,0.00,49216.00
Open High School Of Utah,70000.00,28000.00,32000.00,2199.00,0.00,8700.00,0.00,0.00,93.00,773.00,0.00,11765.00,43765.00
Oquirrh Mountain Charter School,56677.00,33500.00,34003.00,2780.00,0.00,7200.00,0.00,0.00,94.00,838.00,0.00,10912.00,44914.00
Paradigm High School,48000.00,34500.00,35750.00,2751.00,0.00,4800.00,600.00,240.00,712.00,36.00,0.00,9139.00,44889.00
Pinnacle Canyon Academy,62035.00,24621.00,32150.00,2448.00,5030.00,16914.00,1691.00,414.00,238.00,33.00,181.00,26949.00,59099.00
Providence Hall,,33700.00,34711.00,2771.00,2535.00,6000.00,0.00,0.00,126.00,217.00,0.00,11649.00,46360.00
Quail Run Primary School,60000.00,33900.00,36000.00,2616.00,1710.00,6033.00,167.00,352.00,0.00,34.00,0.00,10913.00,46913.00
Quest Academy,,33834.00,33834.00,2523.00,0.00,8400.00,0.00,0.00,86.00,1091.00,0.00,12100.00,45934.00
Ranches Academy,74925.00,,39778.00,3240.00,2118.00,13092.00,0.00,0.00,123.00,508.00,0.00,19081.00,58859.00
Reagan Academy,58750.00,32200.00,32200.00,2592.00,1981.00,6519.00,807.00,0.00,126.00,96.00,0.00,12120.00,44320.00
Renaissance Academy,,38000.00,37682.00,2821.00,2581.00,8952.00,0.00,0.00,15.00,37.00,0.00,14406.00,52088.00
Rockwell Charter High School,60000.00,9776.00,34800.00,2887.00,5933.00,1063.00,0.00,0.00,0.00,38.00,0.00,9921.00,44721.00
Salt Lake Arts Academy,81810.00,,45625.00,3582.00,7362.00,7200.00,480.00,0.00,17.00,47.00,0.00,18688.00,64313.00
Salt Lake Center for Science Education,,41811.00,45979.00,,,,,,,,,0.00,45979.00
Salt Lake School for The Performing Arts,60000.00,,39687.00,2692.00,1759.00,4004.00,0.00,0.00,106.00,35.00,0.00,8596.00,48283.00
Soldier Hollow Charter School,98000.00,35260.00,41289.00,,,,,,,,,0.00,41289.00
Spectrum Academy,81908.00,33013.00,34390.00,,,,,,,,,0.00,34390.00
Success Academy,100000.00,,38433.00,3400.00,6986.00,12347.00,805.00,71.00,187.00,0.00,164.00,23960.00,62393.00
Success School,,,40270.00,3081.00,6330.00,8851.00,0.00,43.00,282.00,40.00,0.00,18627.00,58897.00
Summit Academy,69000.00,34200.00,35750.00,2798.00,6518.00,6419.00,0.00,0.00,92.00,172.00,0.00,15999.00,51749.00
Summit Academy High,47000.00,34200.00,34600.00,3121.00,7271.00,4236.00,0.00,0.00,92.00,572.00,0.00,15291.00,49891.00
Syracuse Arts Academy,64598.00,33131.00,36153.00,2927.00,209.00,8700.00,0.00,0.00,99.00,1059.00,0.00,12994.00,49147.00
Thomas Edison - North,81500.00,33400.00,34400.00,2700.00,3176.00,9184.00,0.00,74.00,102.00,141.00,85.00,15462.00,49862.00
Timpanogos Academy,87500.00,33734.00,40631.00,3144.00,2466.00,11053.00,403.00,54.00,96.00,0.00,70.00,17287.00,57917.00
Tuacahn High School for the Performing A,55722.00,31000.00,38415.00,3147.00,6466.00,13212.00,972.00,0.00,0.00,41.00,0.00,23837.00,62253.00
Uintah River High,62826.00,,42469.00,3377.00,6940.00,8716.00,0.00,0.00,1073.00,44.00,0.00,20151.00,62620.00
Utah County Academy of Science (UCAS),69935.00,,49102.00,3518.00,7229.00,13614.00,1368.00,0.00,0.00,46.00,0.00,25775.00,74877.00
Utah Virtual Academy,,41471.00,50282.00,2425.00,4983.00,0.00,0.00,0.00,0.00,32.00,0.00,7440.00,57722.00
Venture Academy,40000.00,29000.00,30000.00,2942.00,2692.00,4631.00,900.00,33.00,112.00,154.00,0.00,11463.00,41463.00
Vista at Entrada,80000.00,34250.00,35000.00,2623.00,5390.00,6000.00,0.00,0.00,111.00,152.00,0.00,14276.00,49276.00
Walden School of Liberal Arts,74615.00,30000.00,34622.00,,,,,,,,,0.00,34622.00
Wasatch Peak Academy,55000.00,28534.00,31200.00,2773.00,1048.00,8700.00,0.00,0.00,94.00,815.00,0.00,13430.00,44630.00
Weilenmann School of Discovery,84500.00,33956.00,35177.00,3401.00,1778.00,7800.00,0.00,0.00,0.00,44.00,0.00,13024.00,48201.00
